"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,Location,NRC Region,Licensee,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Contructor,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent)
James A. FitzPatrick Nuclear Power Plant,FitzPatrick,5000333,"Scriba, NY (6 MI NE of Oswego,ÊÊNY)",1,"Entergy Nuclear FitzPatrick, LLC.",BWR-MARK 1,GE 4,S&W,S&W,5/20/70,10/17/74,7/28/75,9/8/08,10/17/34,2536,,0.79,0.89,0.84,0.97,0.85,0.99,0.89,,0.95,0.87,0.96
"Joseph M. Farley Nuclear Plant, Unit 1",Farley 1,5000348,"Columbia, AL (18 MI S of Dothan,ÊÊAL)",2,Southern Nuclear Operating Co. ,PWR-DRYAMB,WEST 3LP,SSI,DANI,8/16/72,6/25/77,12/1/77,5/12/05,6/25/37,2775,,1.02,0.9,0.91,1.01,0.88,0.9,0.97,,0.99,0.86,0.91
"Joseph M. Farley Nuclear Plant, Unit 2",Farley 2,5000364,"Columbia, AL (18 MI S of Dothan,ÊÊAL)",2,Southern Nuclear Operating Co. ,PWR-DRYAMB,WEST 3LP,SSI,BECH,8/16/72,3/31/81,7/30/81,5/12/05,3/31/41,2775,,0.89,0.91,1.04,0.89,0.88,0.96,0.9,,0.84,0.89,1
"LaSalle County Station, Unit  1",La Salle 1,5000373,"Marseilles, IL (11 MI SE of Ottawa,ÊÊIL)",3,"Exelon Generation Co., LLC",BWR-MARK 2,GE 5,S&L,CWE,9/10/73,4/17/82,1/1/84,N/A,4/17/22,3546,,0.93,0.95,0.97,1.01,0.94,0.99,1,,1,0.92,0.92
"LaSalle County Station, Unit  2",La Salle 2,5000374,"Marseilles, IL (11 MI SE of Ottawa,ÊÊIL)",3,"Exelon Generation Co., LLC",BWR-MARK 2,GE 5,S&L,CWE,9/10/73,12/16/83,10/19/84,N/A,12/16/23,3546,,0.95,0.88,1.03,0.96,1.01,0.93,0.94,,0.91,1.01,0.91
"Limerick Generating Station, Unit 1",Limerick 1,5000352,"Limerick, PA (21 MI NW of Philadelphia,ÊÊPA)",1,"Exelon Generation Co., LLC",BWR-MARK 2,GE 4,BECH,BECH,6/19/74,8/8/85,2/1/86,N/A,10/26/24,3515,,0.91,1.01,0.85,0.96,0.91,1.01,0.95,,0.99,0.95,1.01
"Limerick Generating Station, Unit 2",Limerick 2,5000353,"Limerick, PA (21 MI NW of Philadelphia,ÊÊPA)",1,"Exelon Generation Co., LLC",BWR-MARK 2,GE 4,BECH,BECH,6/19/74,8/25/89,1/8/90,N/A,6/22/29,3515,,0.99,0.94,0.95,0.9,0.99,0.94,1.01,,0.91,0.99,0.94
"McGuire Nuclear Station, Unit 1",McGuire 1,5000369,"Huntersville, NC (17 MI N of Charlotte,ÊÊNC)",2,"Duke Energy Carolinas, LLC",PWR-ICECND,WEST 4LP,DUKE,DUKE,2/23/73,7/8/81,12/1/81,12/5/03,6/12/41,3411,,0.82,0.82,1.05,0.94,0.92,1.04,0.87,,0.93,0.85,1.03
"McGuire Nuclear Station, Unit 2",McGuire 2,5000370,"Huntersville, NC (17 MI N of Charlotte,ÊÊNC)",2,"Duke Energy Carolinas, LLC",PWR-ICECND,WEST 4LP,DUKE,DUKE,2/23/73,5/27/83,3/1/84,12/5/03,3/3/43,3411,,0.94,0.95,0.82,0.91,1.04,0.94,0.9,,0.89,1.03,0.94
"Millstone Power Station, Unit 2",Millstone 2,5000336,"Waterford, CT (3.2 MI WSW of New London,ÊÊCT)",1,"Dominion Nuclear Conneticut, Inc.",PWR-DRYAMB,CE,BECH,BECH,12/11/70,9/26/75,12/26/75,11/28/05,7/31/35,2700,,0.85,0.95,0.83,0.87,0.97,0.81,0.86,,0.88,0.98,0.8
"Millstone Power Station, Unit 3",Millstone 3,5000423,"Waterford, CT (3.2 MI WSW of New London,ÊÊCT)",1,"Dominion Nuclear Conneticut, Inc.",PWR-DRYSUB,WEST 4LP,S&W,S&W,8/9/74,1/31/86,4/23/86,11/28/05,11/25/45,3650,,0.87,0.87,1,0.87,0.86,1.05,0.88,,0.86,0.88,1.01
"Monticello Nuclear Generating Plant, Unit 1",Monticello,5000263,"Monticello, MN (30 MI NW of Minneapolis,ÊÊMN)",3,Northern States Power Company - Minnesota,BWR-MARK 1,GE 3,BECH,BECH,6/19/67,1/9/81,6/30/71,11/8/06,9/8/30,2004,"AEC issued a provisional OL on 09/08/1970, allowing commercial operation. The NRC issued a full-term OL on 01/09/1981.",0.78,0.5,1.01,0.69,0.94,0.83,0.97,,0.89,1.01,0.92
"Nine Mile Point Nuclear Station, Unit 1",Nine Mile Point 1,5000220,"Scriba, NY (6 MI NE of Oswego,ÊÊNY)",1,"Nine Mile Point Nuclear Station, LLC",BWR-MARK 1,GE 2,NIAG,S&W,4/12/65,12/26/74,12/1/69,10/31/06,8/22/29,1850,"AEC issued a provisional OL on 08/22/1969, allowing commercial operation. The NRC issued a full-term OL on 12/26/1974.",0.98,0.88,0.87,0.84,0.97,0.92,0.98,,0.85,0.92,0.8
"Nine Mile Point Nuclear Station, Unit 2",Nine Mile Point 2,5000410,"Scriba, NY (6 MI NE of Oswego,ÊÊNY)",1,"Nine Mile Point Nuclear Station, LLC",BWR-MARK 2,GE 5,S&W,S&W,6/24/74,7/2/87,3/11/88,10/31/06,10/31/46,3988,,0.87,0.99,0.83,0.95,0.89,0.99,0.9,,1,0.86,0.96
"North Anna Power Station, Unit 1",North Anna 1,5000338,"Mineral (Louisa County), VA (40 MI NW of Richmond,ÊÊVA)",2,Virginia Electric & Power Co.,PWR-DRYSUB,WEST 3LP,S&W,S&W,2/19/71,4/1/78,6/6/78,3/20/03,4/1/38,2940,,1,0.89,0.89,0.78,0.86,0.92,1.01,,0.95,0.91,0.81
"North Anna Power Station, Unit 2",North Anna 2,5000339,"Mineral (Louisa County), VA (40 MI NW of Richmond,ÊÊVA)",2,Virginia Electric & Power Co.,PWR-DRYSUB,WEST 3LP,S&W,S&W,2/19/71,8/21/80,12/14/80,3/20/03,8/21/40,2940,,0.92,0.85,0.99,0.76,1,1,0.82,,0.87,0.92,0.9
"Oconee Nuclear Station, Unit 1",Oconee 1,5000269,"Seneca, SC (30 MI W of Greenville,ÊÊSC)",2,"Duke Energy Carolinas, LLC",PWR-DRYAMB,B&W LLP,DBDB,DUKE,11/6/67,2/6/73,7/15/73,5/23/00,2/6/33,2568,,0.91,0.91,0.9,0.79,1,0.85,0.84,,0.91,0.98,0.71
"Oconee Nuclear Station, Unit 2",Oconee 2,5000270,"Seneca, SC (30 MI W of Greenville,ÊÊSC)",2,"Duke Energy Carolinas, LLC",PWR-DRYAMB,B&W LLP,DBDB,DUKE,11/6/67,10/6/73,9/9/74,5/23/00,10/6/33,2568,,1.01,0.82,1.02,0.93,0.91,1.03,0.86,,0.9,0.76,1.02
"Oconee Nuclear Station, Unit 3",Oconee 3,5000287,"Seneca, SC (30 MI W of Greenville,ÊÊSC)",2,"Duke Energy Carolinas, LLC",PWR-DRYAMB,B&W LLP,DBDB,DUKE,11/6/67,7/19/74,12/16/74,5/23/00,7/19/34,2568,,0.92,0.97,0.86,1.03,0.91,0.94,1.02,,0.98,0.77,0.85
"Oyster Creek Nuclear Generating Station, Unit 1",Oyster Creek,5000219,"Forked River, NJ (9 MI S of Toms River,ÊÊNJ)",1,"Exelon Generation Co., LLC",BWR-MARK 1,GE 2,B&R,B&R,12/15/64,7/2/91,12/1/69,4/8/09,4/9/29,1930,"AEC issued a provisional OL on 04/09/1969, allowing commercial operation. The NRC issued a full-term OL on 07/02/1991.",0.9,1.06,0.88,0.98,0.85,0.92,0.83,,0.99,0.89,0.97
Palisades Nuclear Plant,Palisades,5000255,"Covert, MI (5 MI S of South Haven,ÊÊMI)",3,"Entergy Nuclear Operations, Inc.",PWR-DRYAMB,CE,BECH,BECH,3/14/67,2/21/91,12/31/71,1/17/07,3/24/31,2565.4,"AEC issued a provisional OL on 003/24/1971, allowing commercial operation. The NRC issued a full-term OL on 02/21/1991.",0.86,0.85,0.74,0.96,0.92,0.9,0.99,,0.79,0.92,0.95
"Palo Verde Nuclear Generating Station, Unit 1",Palo Verde 1,5000528,"Wintersburg, AZ (50 MI W of Phoenix,ÊÊAZ)",4,Arizona Public Service Company,PWR-DRYAMB,CE80-2L,BECH,BECH,5/25/76,6/1/85,1/28/86,4/21/11,6/1/45,3990,,0.9,0.85,1,0.83,0.81,1.01,0.86,,0.63,0.85,0.97
"Palo Verde Nuclear Generating Station, Unit 2",Palo Verde 2,0'5000529,"Wintersburg, AZ (50 MI W of Phoenix,ÊÊAZ)",4,Arizona Public Service Company,PWR-DRYAMB,CE80-2L,BECH,BECH,5/25/76,4/24/86,9/19/86,4/21/11,4/24/46,3990,,0.9,0.91,0.9,0.91,1.01,0.83,0.74,,0.82,0.92,0.72
"Palo Verde Nuclear Generating Station, Unit 3",Palo Verde 3,5000530,"Wintersburg, AZ (50 MI W of Phoenix,ÊÊAZ)",4,Arizona Public Service Company,PWR-DRYAMB,CE80-2L,BECH,BECH,5/25/76,11/25/87,1/8/88,4/21/11,11/25/47,3990,,1.01,0.79,0.88,0.97,0.89,0.83,0.97,,0.84,0.75,0.88
"Peach Bottom Atomic Power Station, Unit 2",Peach Bottom 2,5000277,"Delta, PA (17.9 MI S of Lancaster,ÊÊPA)",1,"Exelon Generation Co., LLC",BWR-MARK 1,GE 4,BECH,BECH,1/31/68,10/25/73,7/5/74,5/7/03,8/8/33,3514,,0.88,1,0.88,1.01,0.92,1.02,0.89,,0.98,0.91,0.95
"Peach Bottom Atomic Power Station, Unit 3",Peach Bottom 3,5000278,"Delta, PA (17.9 MI S of Lancaster,ÊÊPA)",1,"Exelon Generation Co., LLC",BWR-MARK 1,GE 4,BECH,BECH,1/31/68,7/2/74,12/23/74,5/7/03,7/2/34,3514,,1.03,0.85,1.03,0.9,1,0.89,0.99,,0.91,1.02,0.91
"Perry Nuclear Power Plant, Unit 1",Perry 1,5000440,"Perry, OH (35 MI NE of Cleveland,ÊÊOH)",3,First Energy Nuclear Operating Co.,BWR-MARK 3,GE 6,GIL,KAIS,5/3/77,11/13/86,11/18/87,N/A,3/18/26,3758,,0.96,0.73,0.92,0.79,0.98,0.67,0.98,,0.71,0.94,0.79
Pilgrim Nuclear Power Station,Pilgrim 1,0'5000293,"Plymouth, MA (38 MI SE of Boston, MA)",1,"Entergy Nuclear Operations, Inc.",BWR-MARK 1,GE 3,BECH,BECH,8/26/68,6/8/72,12/1/72,5/29/12,6/8/32,2028,,0.97,0.74,0.98,0.85,0.99,0.9,0.97,,0.91,0.99,0.83
