Category,Item,Age,Year,Value
Housing,Floor coverings,45 and 54,2008,50
Housing,Floor coverings,45 and 54,2009,39
Housing,Floor coverings,45 and 54,2010,37
Housing,Floor coverings,45 and 54,2011,21
Housing,Floor coverings,45 and 54,2012,24
Housing,Floor coverings,55 and 64,2003,76
Housing,Floor coverings,55 and 64,2004,87
Housing,Floor coverings,55 and 64,2005,83
Housing,Floor coverings,55 and 64,2006,80
Housing,Floor coverings,55 and 64,2007,48
Housing,Floor coverings,55 and 64,2008,61
Housing,Floor coverings,55 and 64,2009,36
Housing,Floor coverings,55 and 64,2010,51
Housing,Floor coverings,55 and 64,2011,28
Housing,Floor coverings,55 and 64,2012,18
Housing,Floor coverings,65 and 74,2003,55
Housing,Floor coverings,65 and 74,2004,61
Housing,Floor coverings,65 and 74,2005,34
Housing,Floor coverings,65 and 74,2006,52
Housing,Floor coverings,65 and 74,2007,58
Housing,Floor coverings,65 and 74,2008,49
Housing,Floor coverings,65 and 74,2009,49
Housing,Floor coverings,65 and 74,2010,20
Housing,Floor coverings,65 and 74,2011,31
Housing,Floor coverings,65 and 74,2012,12
Housing,Floor coverings,75 and over,2003,40
Housing,Floor coverings,75 and over,2004,26
Housing,Floor coverings,75 and over,2005,21
Housing,Floor coverings,75 and over,2006,41
Housing,Floor coverings,75 and over,2007,37
Housing,Floor coverings,75 and over,2008,53
Housing,Floor coverings,75 and over,2009,25
Housing,Floor coverings,75 and over,2010,21
Housing,Floor coverings,75 and over,2011,8
Housing,Floor coverings,75 and over,2012,14
Food,Food away from home,0 to 25,2003,1636
Food,Food away from home,0 to 25,2004,1862
Food,Food away from home,0 to 25,2005,2015
Food,Food away from home,0 to 25,2006,1973
Food,Food away from home,0 to 25,2007,1876
Food,Food away from home,0 to 25,2008,2117
Food,Food away from home,0 to 25,2009,1731
Food,Food away from home,0 to 25,2010,1876
Food,Food away from home,0 to 25,2011,1973
Food,Food away from home,0 to 25,2012,1883
Food,Food away from home,25 and 34,2003,2342
Food,Food away from home,25 and 34,2004,2550
Food,Food away from home,25 and 34,2005,2694
Food,Food away from home,25 and 34,2006,2918
Food,Food away from home,25 and 34,2007,2790
Food,Food away from home,25 and 34,2008,2836
Food,Food away from home,25 and 34,2009,2691
Food,Food away from home,25 and 34,2010,2753
Food,Food away from home,25 and 34,2011,2764
Food,Food away from home,25 and 34,2012,2833
Food,Food away from home,35 and 44,2003,2672
Food,Food away from home,35 and 44,2004,2855
Food,Food away from home,35 and 44,2005,3238
Food,Food away from home,35 and 44,2006,3203
Food,Food away from home,35 and 44,2007,3268
Food,Food away from home,35 and 44,2008,3340
Food,Food away from home,35 and 44,2009,3314
Food,Food away from home,35 and 44,2010,3227
Food,Food away from home,35 and 44,2011,3171
Food,Food away from home,35 and 44,2012,3210
Food,Food away from home,45 and 54,2003,2688
Food,Food away from home,45 and 54,2004,2955
Food,Food away from home,45 and 54,2005,3173
Food,Food away from home,45 and 54,2006,3292
Food,Food away from home,45 and 54,2007,3178
Food,Food away from home,45 and 54,2008,3244
Food,Food away from home,45 and 54,2009,3102
Food,Food away from home,45 and 54,2010,2861
Food,Food away from home,45 and 54,2011,3003
Food,Food away from home,45 and 54,2012,3210
Food,Food away from home,55 and 64,2003,2215
Food,Food away from home,55 and 64,2004,2524
Food,Food away from home,55 and 64,2005,2715
Food,Food away from home,55 and 64,2006,2613
Food,Food away from home,55 and 64,2007,2784
Food,Food away from home,55 and 64,2008,2646
Food,Food away from home,55 and 64,2009,2626
Food,Food away from home,55 and 64,2010,2387
Food,Food away from home,55 and 64,2011,2611
Food,Food away from home,55 and 64,2012,2788
Food,Food away from home,65 and 74,2003,1656
Food,Food away from home,65 and 74,2004,1822
Food,Food away from home,65 and 74,2005,1933
Food,Food away from home,65 and 74,2006,2110
Food,Food away from home,65 and 74,2007,1878
Food,Food away from home,65 and 74,2008,1917
Food,Food away from home,65 and 74,2009,1994
Food,Food away from home,65 and 74,2010,1935
Food,Food away from home,65 and 74,2011,2210
Food,Food away from home,65 and 74,2012,2074
Food,Food away from home,75 and over,2003,968
Food,Food away from home,75 and over,2004,1138
Food,Food away from home,75 and over,2005,1166
Food,Food away from home,75 and over,2006,1193
Food,Food away from home,75 and over,2007,1319
Food,Food away from home,75 and over,2008,1268
Food,Food away from home,75 and over,2009,1338
Food,Food away from home,75 and over,2010,1230
Food,Food away from home,75 and over,2011,1429
Food,Food away from home,75 and over,2012,1426
Apparel,Footwear,0 to 25,2003,206
Apparel,Footwear,0 to 25,2004,258
Apparel,Footwear,0 to 25,2005,297
Apparel,Footwear,0 to 25,2006,251
Apparel,Footwear,0 to 25,2007,237
Apparel,Footwear,0 to 25,2008,253
Apparel,Footwear,0 to 25,2009,278
Apparel,Footwear,0 to 25,2010,305
Apparel,Footwear,0 to 25,2011,298
Apparel,Footwear,0 to 25,2012,222
Apparel,Footwear,25 and 34,2003,331
Apparel,Footwear,25 and 34,2004,398
Apparel,Footwear,25 and 34,2005,384
Apparel,Footwear,25 and 34,2006,371
Apparel,Footwear,25 and 34,2007,383
Apparel,Footwear,25 and 34,2008,346
Apparel,Footwear,25 and 34,2009,336
Apparel,Footwear,25 and 34,2010,313
Apparel,Footwear,25 and 34,2011,306
Apparel,Footwear,25 and 34,2012,411
Apparel,Footwear,35 and 44,2003,413
Apparel,Footwear,35 and 44,2004,416
Apparel,Footwear,35 and 44,2005,397
Apparel,Footwear,35 and 44,2006,404
Apparel,Footwear,35 and 44,2007,399
Apparel,Footwear,35 and 44,2008,404
Apparel,Footwear,35 and 44,2009,449
Apparel,Footwear,35 and 44,2010,414
Apparel,Footwear,35 and 44,2011,449
Apparel,Footwear,35 and 44,2012,493
Apparel,Footwear,45 and 54,2003,334
Apparel,Footwear,45 and 54,2004,385
Apparel,Footwear,45 and 54,2005,369
Apparel,Footwear,45 and 54,2006,343
Apparel,Footwear,45 and 54,2007,383
Apparel,Footwear,45 and 54,2008,411
Apparel,Footwear,45 and 54,2009,351
Apparel,Footwear,45 and 54,2010,360
Apparel,Footwear,45 and 54,2011,393
Apparel,Footwear,45 and 54,2012,435
Apparel,Footwear,55 and 64,2003,237
Apparel,Footwear,55 and 64,2004,351
Apparel,Footwear,55 and 64,2005,298
Apparel,Footwear,55 and 64,2006,288
Apparel,Footwear,55 and 64,2007,351
Apparel,Footwear,55 and 64,2008,243
Apparel,Footwear,55 and 64,2009,269
Apparel,Footwear,55 and 64,2010,292
Apparel,Footwear,55 and 64,2011,288
Apparel,Footwear,55 and 64,2012,285
Apparel,Footwear,65 and 74,2003,214
Apparel,Footwear,65 and 74,2004,153
Apparel,Footwear,65 and 74,2005,189
Apparel,Footwear,65 and 74,2006,160
Apparel,Footwear,65 and 74,2007,209
Apparel,Footwear,65 and 74,2008,219
Apparel,Footwear,65 and 74,2009,262
Apparel,Footwear,65 and 74,2010,176
Apparel,Footwear,65 and 74,2011,176
Apparel,Footwear,65 and 74,2012,226
Apparel,Footwear,75 and over,2003,116
Apparel,Footwear,75 and over,2004,91
Apparel,Footwear,75 and over,2005,128
Apparel,Footwear,75 and over,2006,106
Apparel,Footwear,75 and over,2007,106
Apparel,Footwear,75 and over,2008,132
Apparel,Footwear,75 and over,2009,181
Apparel,Footwear,75 and over,2010,118
Apparel,Footwear,75 and over,2011,203
Apparel,Footwear,75 and over,2012,134
Food,Fresh vegetables,0 to 25,2003,87
Food,Fresh vegetables,0 to 25,2004,86
Food,Fresh vegetables,0 to 25,2005,90
Food,Fresh vegetables,0 to 25,2006,99
Food,Fresh vegetables,0 to 25,2007,103
Food,Fresh vegetables,0 to 25,2008,114
Food,Fresh vegetables,0 to 25,2009,130
Food,Fresh vegetables,0 to 25,2010,131
Food,Fresh vegetables,0 to 25,2011,130
Food,Fresh vegetables,0 to 25,2012,128
Food,Fresh vegetables,25 and 34,2003,157
Food,Fresh vegetables,25 and 34,2004,166
Food,Fresh vegetables,25 and 34,2005,144
Food,Fresh vegetables,25 and 34,2006,178
Food,Fresh vegetables,25 and 34,2007,163
Food,Fresh vegetables,25 and 34,2008,186
Food,Fresh vegetables,25 and 34,2009,184
Food,Fresh vegetables,25 and 34,2010,190
Food,Fresh vegetables,25 and 34,2011,195
Food,Fresh vegetables,25 and 34,2012,208
Food,Fresh vegetables,35 and 44,2003,187
Food,Fresh vegetables,35 and 44,2004,200
Food,Fresh vegetables,35 and 44,2005,202
Food,Fresh vegetables,35 and 44,2006,207
Food,Fresh vegetables,35 and 44,2007,220
Food,Fresh vegetables,35 and 44,2008,238
Food,Fresh vegetables,35 and 44,2009,229
Food,Fresh vegetables,35 and 44,2010,233
Food,Fresh vegetables,35 and 44,2011,254
Food,Fresh vegetables,35 and 44,2012,243
Food,Fresh vegetables,45 and 54,2003,199
Food,Fresh vegetables,45 and 54,2004,219
Food,Fresh vegetables,45 and 54,2005,202
Food,Fresh vegetables,45 and 54,2006,234
Food,Fresh vegetables,45 and 54,2007,217
Food,Fresh vegetables,45 and 54,2008,249
Food,Fresh vegetables,45 and 54,2009,247
Food,Fresh vegetables,45 and 54,2010,251
Food,Fresh vegetables,45 and 54,2011,258
Food,Fresh vegetables,45 and 54,2012,269
Food,Fresh vegetables,55 and 64,2003,192
Food,Fresh vegetables,55 and 64,2004,200
Food,Fresh vegetables,55 and 64,2005,214
Food,Fresh vegetables,55 and 64,2006,219
Food,Fresh vegetables,55 and 64,2007,207
Food,Fresh vegetables,55 and 64,2008,235
Food,Fresh vegetables,55 and 64,2009,219
Food,Fresh vegetables,55 and 64,2010,218
Food,Fresh vegetables,55 and 64,2011,239
Food,Fresh vegetables,55 and 64,2012,234
Food,Fresh vegetables,65 and 74,2003,182
Food,Fresh vegetables,65 and 74,2004,191
Food,Fresh vegetables,65 and 74,2005,172
Food,Fresh vegetables,65 and 74,2006,192
Food,Fresh vegetables,65 and 74,2007,205
Food,Fresh vegetables,65 and 74,2008,196
Food,Fresh vegetables,65 and 74,2009,220
Food,Fresh vegetables,65 and 74,2010,206
Food,Fresh vegetables,65 and 74,2011,220
Food,Fresh vegetables,65 and 74,2012,242
Food,Fresh vegetables,75 and over,2003,136
Food,Fresh vegetables,75 and over,2004,142
Food,Fresh vegetables,75 and over,2005,122
Food,Fresh vegetables,75 and over,2006,131
Food,Fresh vegetables,75 and over,2007,142
Food,Fresh vegetables,75 and over,2008,170
Food,Fresh vegetables,75 and over,2009,161
Food,Fresh vegetables,75 and over,2010,159
Food,Fresh vegetables,75 and over,2011,189
Food,Fresh vegetables,75 and over,2012,169
Food,Fresh fruits,0 to 25,2003,75
Food,Fresh fruits,0 to 25,2004,92
Food,Fresh fruits,0 to 25,2005,87
Food,Fresh fruits,0 to 25,2006,99
Food,Fresh fruits,0 to 25,2007,112
Food,Fresh fruits,0 to 25,2008,114
Food,Fresh fruits,0 to 25,2009,116
Food,Fresh fruits,0 to 25,2010,119
Food,Fresh fruits,0 to 25,2011,132
Food,Fresh fruits,0 to 25,2012,162
Food,Fresh fruits,25 and 34,2003,157
Food,Fresh fruits,25 and 34,2004,168
Food,Fresh fruits,25 and 34,2005,145
Food,Fresh fruits,25 and 34,2006,165
Food,Fresh fruits,25 and 34,2007,168
Food,Fresh fruits,25 and 34,2008,196
Food,Fresh fruits,25 and 34,2009,189
Food,Fresh fruits,25 and 34,2010,210
Food,Fresh fruits,25 and 34,2011,210
Food,Fresh fruits,25 and 34,2012,237
Food,Fresh fruits,35 and 44,2003,190
Food,Fresh fruits,35 and 44,2004,199
Food,Fresh fruits,35 and 44,2005,218
Food,Fresh fruits,35 and 44,2006,219
Food,Fresh fruits,35 and 44,2007,227
Food,Fresh fruits,35 and 44,2008,259
Food,Fresh fruits,35 and 44,2009,249
Food,Fresh fruits,35 and 44,2010,273
Food,Fresh fruits,35 and 44,2011,291
Food,Fresh fruits,35 and 44,2012,297
Food,Fresh fruits,45 and 54,2003,204
Food,Fresh fruits,45 and 54,2004,229
Food,Fresh fruits,45 and 54,2005,201
Food,Fresh fruits,45 and 54,2006,225
Food,Fresh fruits,45 and 54,2007,232
Food,Fresh fruits,45 and 54,2008,262
Food,Fresh fruits,45 and 54,2009,249
Food,Fresh fruits,45 and 54,2010,274
Food,Fresh fruits,45 and 54,2011,273
Food,Fresh fruits,45 and 54,2012,308
Food,Fresh fruits,55 and 64,2003,189
Food,Fresh fruits,55 and 64,2004,199
Food,Fresh fruits,55 and 64,2005,211
Food,Fresh fruits,55 and 64,2006,230
Food,Fresh fruits,55 and 64,2007,219
Food,Fresh fruits,55 and 64,2008,230
Food,Fresh fruits,55 and 64,2009,227
Food,Fresh fruits,55 and 64,2010,243
Food,Fresh fruits,55 and 64,2011,262
Food,Fresh fruits,55 and 64,2012,258
Food,Fresh fruits,65 and 74,2003,172
Food,Fresh fruits,65 and 74,2004,183
Food,Fresh fruits,65 and 74,2005,192
Food,Fresh fruits,65 and 74,2006,184
Food,Fresh fruits,65 and 74,2007,212
Food,Fresh fruits,65 and 74,2008,212
Food,Fresh fruits,65 and 74,2009,244
Food,Fresh fruits,65 and 74,2010,214
Food,Fresh fruits,65 and 74,2011,254
Food,Fresh fruits,65 and 74,2012,260
Food,Fresh fruits,75 and over,2003,133
Food,Fresh fruits,75 and over,2004,166
Food,Fresh fruits,75 and over,2005,146
Food,Fresh fruits,75 and over,2006,159
Food,Fresh fruits,75 and over,2007,172
Food,Fresh fruits,75 and over,2008,179
Food,Fresh fruits,75 and over,2009,185
Food,Fresh fruits,75 and over,2010,182
Food,Fresh fruits,75 and over,2011,217
Food,Fresh fruits,75 and over,2012,219
Housing,Furniture,0 to 25,2003,203
Housing,Furniture,0 to 25,2004,261
Housing,Furniture,0 to 25,2005,297
Housing,Furniture,0 to 25,2006,350
Housing,Furniture,0 to 25,2007,281
Housing,Furniture,0 to 25,2008,284
Housing,Furniture,0 to 25,2009,336
Housing,Furniture,0 to 25,2010,268
Housing,Furniture,0 to 25,2011,260
Housing,Furniture,0 to 25,2012,325
Housing,Furniture,25 and 34,2003,499
Housing,Furniture,25 and 34,2004,464
Housing,Furniture,25 and 34,2005,537
Housing,Furniture,25 and 34,2006,510
Housing,Furniture,25 and 34,2007,537
Housing,Furniture,25 and 34,2008,459
Housing,Furniture,25 and 34,2009,432
Housing,Furniture,25 and 34,2010,429
Housing,Furniture,25 and 34,2011,454
Housing,Furniture,25 and 34,2012,431
Housing,Furniture,35 and 44,2003,518
Housing,Furniture,35 and 44,2004,546
Housing,Furniture,35 and 44,2005,626
Housing,Furniture,35 and 44,2006,536
Housing,Furniture,35 and 44,2007,625
Housing,Furniture,35 and 44,2008,479
Housing,Furniture,35 and 44,2009,391
Housing,Furniture,35 and 44,2010,447
Housing,Furniture,35 and 44,2011,404
Housing,Furniture,35 and 44,2012,527
Housing,Furniture,45 and 54,2003,450
Housing,Furniture,45 and 54,2004,415
Housing,Furniture,45 and 54,2005,423
Housing,Furniture,45 and 54,2006,569
Housing,Furniture,45 and 54,2007,461
Housing,Furniture,45 and 54,2008,416
Housing,Furniture,45 and 54,2009,375
Housing,Furniture,45 and 54,2010,325
Housing,Furniture,45 and 54,2011,350
Housing,Furniture,45 and 54,2012,473
Housing,Furniture,55 and 64,2003,447
Housing,Furniture,55 and 64,2004,504
Housing,Furniture,55 and 64,2005,527
Housing,Furniture,55 and 64,2006,462
Housing,Furniture,55 and 64,2007,437
Housing,Furniture,55 and 64,2008,411
Housing,Furniture,55 and 64,2009,330
Housing,Furniture,55 and 64,2010,406
Housing,Furniture,55 and 64,2011,419
Housing,Furniture,55 and 64,2012,378
Housing,Furniture,65 and 74,2003,225
Housing,Furniture,65 and 74,2004,322
Housing,Furniture,65 and 74,2005,442
Housing,Furniture,65 and 74,2006,368
Housing,Furniture,65 and 74,2007,308
Housing,Furniture,65 and 74,2008,267
Housing,Furniture,65 and 74,2009,252
Housing,Furniture,65 and 74,2010,252
Housing,Furniture,65 and 74,2011,314
Housing,Furniture,65 and 74,2012,259
Housing,Furniture,75 and over,2003,142
Housing,Furniture,75 and over,2004,153
Housing,Furniture,75 and over,2005,168
Housing,Furniture,75 and over,2006,176
Housing,Furniture,75 and over,2007,159
Housing,Furniture,75 and over,2008,184
Housing,Furniture,75 and over,2009,163
Housing,Furniture,75 and over,2010,203
Housing,Furniture,75 and over,2011,127
Housing,Furniture,75 and over,2012,155
Transportation,Gasoline and motor oil,0 to 25,2003,947
Transportation,Gasoline and motor oil,0 to 25,2004,1130
Transportation,Gasoline and motor oil,0 to 25,2005,1538
Transportation,Gasoline and motor oil,0 to 25,2006,1637
Transportation,Gasoline and motor oil,0 to 25,2007,1760
Transportation,Gasoline and motor oil,0 to 25,2008,1974
Transportation,Gasoline and motor oil,0 to 25,2009,1483
Transportation,Gasoline and motor oil,0 to 25,2010,1493
Transportation,Gasoline and motor oil,0 to 25,2011,1840
Transportation,Gasoline and motor oil,0 to 25,2012,1931
Transportation,Gasoline and motor oil,25 and 34,2003,1388
Transportation,Gasoline and motor oil,25 and 34,2004,1679
Transportation,Gasoline and motor oil,25 and 34,2005,2123
Transportation,Gasoline and motor oil,25 and 34,2006,2346
Transportation,Gasoline and motor oil,25 and 34,2007,2446
Transportation,Gasoline and motor oil,25 and 34,2008,2754
Transportation,Gasoline and motor oil,25 and 34,2009,2071
Transportation,Gasoline and motor oil,25 and 34,2010,2208
Transportation,Gasoline and motor oil,25 and 34,2011,2726
Transportation,Gasoline and motor oil,25 and 34,2012,2822
Transportation,Gasoline and motor oil,35 and 44,2003,1582
Transportation,Gasoline and motor oil,35 and 44,2004,1877
Transportation,Gasoline and motor oil,35 and 44,2005,2379
Transportation,Gasoline and motor oil,35 and 44,2006,2636
Transportation,Gasoline and motor oil,35 and 44,2007,2870
Transportation,Gasoline and motor oil,35 and 44,2008,3347
Transportation,Gasoline and motor oil,35 and 44,2009,2359
Transportation,Gasoline and motor oil,35 and 44,2010,2537
Transportation,Gasoline and motor oil,35 and 44,2011,3188
Transportation,Gasoline and motor oil,35 and 44,2012,3342
Transportation,Gasoline and motor oil,45 and 54,2003,1644
Transportation,Gasoline and motor oil,45 and 54,2004,1980
Transportation,Gasoline and motor oil,45 and 54,2005,2424
Transportation,Gasoline and motor oil,45 and 54,2006,2693
Transportation,Gasoline and motor oil,45 and 54,2007,2846
Transportation,Gasoline and motor oil,45 and 54,2008,3298
Transportation,Gasoline and motor oil,45 and 54,2009,2398
Transportation,Gasoline and motor oil,45 and 54,2010,2575
Transportation,Gasoline and motor oil,45 and 54,2011,3270
Transportation,Gasoline and motor oil,45 and 54,2012,3421
Transportation,Gasoline and motor oil,55 and 64,2003,1411
Transportation,Gasoline and motor oil,55 and 64,2004,1666
Transportation,Gasoline and motor oil,55 and 64,2005,2101
Transportation,Gasoline and motor oil,55 and 64,2006,2288
Transportation,Gasoline and motor oil,55 and 64,2007,2504
Transportation,Gasoline and motor oil,55 and 64,2008,2818
Transportation,Gasoline and motor oil,55 and 64,2009,2074
Transportation,Gasoline and motor oil,55 and 64,2010,2215
Transportation,Gasoline and motor oil,55 and 64,2011,2713
Transportation,Gasoline and motor oil,55 and 64,2012,2887
Transportation,Gasoline and motor oil,65 and 74,2003,1019
Transportation,Gasoline and motor oil,65 and 74,2004,1259
Transportation,Gasoline and motor oil,65 and 74,2005,1567
Transportation,Gasoline and motor oil,65 and 74,2006,1766
Transportation,Gasoline and motor oil,65 and 74,2007,1862
Transportation,Gasoline and motor oil,65 and 74,2008,2045
Transportation,Gasoline and motor oil,65 and 74,2009,1573
Transportation,Gasoline and motor oil,65 and 74,2010,1766
Transportation,Gasoline and motor oil,65 and 74,2011,2218
Transportation,Gasoline and motor oil,65 and 74,2012,2222
Transportation,Gasoline and motor oil,75 and over,2003,563
Transportation,Gasoline and motor oil,75 and over,2004,675
Transportation,Gasoline and motor oil,75 and over,2005,843
Transportation,Gasoline and motor oil,75 and over,2006,934
Transportation,Gasoline and motor oil,75 and over,2007,1039
Transportation,Gasoline and motor oil,75 and over,2008,1173
Transportation,Gasoline and motor oil,75 and over,2009,877
Transportation,Gasoline and motor oil,75 and over,2010,980
Transportation,Gasoline and motor oil,75 and over,2011,1201
Transportation,Gasoline and motor oil,75 and over,2012,1224
Apparel,"Apparel, Girls, 2 to 15",0 to 25,2003,25
Apparel,"Apparel, Girls, 2 to 15",0 to 25,2004,29
Apparel,"Apparel, Girls, 2 to 15",0 to 25,2005,42
Apparel,"Apparel, Girls, 2 to 15",0 to 25,2006,33
Apparel,"Apparel, Girls, 2 to 15",0 to 25,2007,25
Apparel,"Apparel, Girls, 2 to 15",0 to 25,2008,29
Apparel,"Apparel, Girls, 2 to 15",0 to 25,2009,65
Apparel,"Apparel, Girls, 2 to 15",0 to 25,2010,42
Apparel,"Apparel, Girls, 2 to 15",0 to 25,2011,29
Apparel,"Apparel, Girls, 2 to 15",0 to 25,2012,22
Apparel,"Apparel, Girls, 2 to 15",25 and 34,2003,140
Apparel,"Apparel, Girls, 2 to 15",25 and 34,2004,118
Apparel,"Apparel, Girls, 2 to 15",25 and 34,2005,141
Apparel,"Apparel, Girls, 2 to 15",25 and 34,2006,158
Apparel,"Apparel, Girls, 2 to 15",25 and 34,2007,158
Apparel,"Apparel, Girls, 2 to 15",25 and 34,2008,146
Apparel,"Apparel, Girls, 2 to 15",25 and 34,2009,144
Apparel,"Apparel, Girls, 2 to 15",25 and 34,2010,125
Apparel,"Apparel, Girls, 2 to 15",25 and 34,2011,125
Apparel,"Apparel, Girls, 2 to 15",25 and 34,2012,152
Apparel,"Apparel, Girls, 2 to 15",35 and 44,2003,217
Apparel,"Apparel, Girls, 2 to 15",35 and 44,2004,222
Apparel,"Apparel, Girls, 2 to 15",35 and 44,2005,256
Apparel,"Apparel, Girls, 2 to 15",35 and 44,2006,251
Apparel,"Apparel, Girls, 2 to 15",35 and 44,2007,251
Apparel,"Apparel, Girls, 2 to 15",35 and 44,2008,236
Apparel,"Apparel, Girls, 2 to 15",35 and 44,2009,248
Apparel,"Apparel, Girls, 2 to 15",35 and 44,2010,210
Apparel,"Apparel, Girls, 2 to 15",35 and 44,2011,238
Apparel,"Apparel, Girls, 2 to 15",35 and 44,2012,243
Apparel,"Apparel, Girls, 2 to 15",45 and 54,2003,101
Apparel,"Apparel, Girls, 2 to 15",45 and 54,2004,131
Apparel,"Apparel, Girls, 2 to 15",45 and 54,2005,135
Apparel,"Apparel, Girls, 2 to 15",45 and 54,2006,131
Apparel,"Apparel, Girls, 2 to 15",45 and 54,2007,130
Apparel,"Apparel, Girls, 2 to 15",45 and 54,2008,156
Apparel,"Apparel, Girls, 2 to 15",45 and 54,2009,120
Apparel,"Apparel, Girls, 2 to 15",45 and 54,2010,116
Apparel,"Apparel, Girls, 2 to 15",45 and 54,2011,148
Apparel,"Apparel, Girls, 2 to 15",45 and 54,2012,133
Apparel,"Apparel, Girls, 2 to 15",55 and 64,2003,52
Apparel,"Apparel, Girls, 2 to 15",55 and 64,2004,50
Apparel,"Apparel, Girls, 2 to 15",55 and 64,2005,59
Apparel,"Apparel, Girls, 2 to 15",55 and 64,2006,62
Apparel,"Apparel, Girls, 2 to 15",55 and 64,2007,70
Apparel,"Apparel, Girls, 2 to 15",55 and 64,2008,57
Apparel,"Apparel, Girls, 2 to 15",55 and 64,2009,69
Apparel,"Apparel, Girls, 2 to 15",55 and 64,2010,50
Apparel,"Apparel, Girls, 2 to 15",55 and 64,2011,74
Apparel,"Apparel, Girls, 2 to 15",55 and 64,2012,64
Apparel,"Apparel, Girls, 2 to 15",65 and 74,2003,55
Apparel,"Apparel, Girls, 2 to 15",65 and 74,2004,39
Apparel,"Apparel, Girls, 2 to 15",65 and 74,2005,36
Apparel,"Apparel, Girls, 2 to 15",65 and 74,2006,47
Apparel,"Apparel, Girls, 2 to 15",65 and 74,2007,46
Apparel,"Apparel, Girls, 2 to 15",65 and 74,2008,68
Apparel,"Apparel, Girls, 2 to 15",65 and 74,2009,38
Apparel,"Apparel, Girls, 2 to 15",65 and 74,2010,43
Apparel,"Apparel, Girls, 2 to 15",65 and 74,2011,68
Apparel,"Apparel, Girls, 2 to 15",65 and 74,2012,69
Apparel,"Apparel, Girls, 2 to 15",75 and over,2003,9
Apparel,"Apparel, Girls, 2 to 15",75 and over,2004,15
Apparel,"Apparel, Girls, 2 to 15",75 and over,2005,14
Apparel,"Apparel, Girls, 2 to 15",75 and over,2006,11
Apparel,"Apparel, Girls, 2 to 15",75 and over,2007,8
Apparel,"Apparel, Girls, 2 to 15",75 and over,2008,6
Apparel,"Apparel, Girls, 2 to 15",75 and over,2009,18
Apparel,"Apparel, Girls, 2 to 15",75 and over,2010,25
Apparel,"Apparel, Girls, 2 to 15",75 and over,2011,11
Apparel,"Apparel, Girls, 2 to 15",75 and over,2012,11
Housing,Other household expenses,0 to 25,2003,95
Housing,Other household expenses,0 to 25,2004,110
Housing,Other household expenses,0 to 25,2005,151
Housing,Other household expenses,0 to 25,2006,161
Housing,Other household expenses,0 to 25,2007,189
Housing,Other household expenses,0 to 25,2008,185
Housing,Other household expenses,0 to 25,2009,214
Housing,Other household expenses,0 to 25,2010,261
Housing,Other household expenses,0 to 25,2011,331
Housing,Other household expenses,0 to 25,2012,343
Housing,Other household expenses,25 and 34,2003,301
Housing,Other household expenses,25 and 34,2004,331
Housing,Other household expenses,25 and 34,2005,354
Housing,Other household expenses,25 and 34,2006,424
Housing,Other household expenses,25 and 34,2007,394
Housing,Other household expenses,25 and 34,2008,417
Housing,Other household expenses,25 and 34,2009,445
Housing,Other household expenses,25 and 34,2010,487
Housing,Other household expenses,25 and 34,2011,555
Housing,Other household expenses,25 and 34,2012,609
Housing,Other household expenses,35 and 44,2003,428
Housing,Other household expenses,35 and 44,2004,424
Housing,Other household expenses,35 and 44,2005,479
Housing,Other household expenses,35 and 44,2006,569
Housing,Other household expenses,35 and 44,2007,579
Housing,Other household expenses,35 and 44,2008,609
Housing,Other household expenses,35 and 44,2009,623
Housing,Other household expenses,35 and 44,2010,679
Housing,Other household expenses,35 and 44,2011,710
Housing,Other household expenses,35 and 44,2012,767
Housing,Other household expenses,45 and 54,2003,512
Housing,Other household expenses,45 and 54,2004,562
Housing,Other household expenses,45 and 54,2005,536
Housing,Other household expenses,45 and 54,2006,601
Housing,Other household expenses,45 and 54,2007,674
Housing,Other household expenses,45 and 54,2008,713
Housing,Other household expenses,45 and 54,2009,711
Housing,Other household expenses,45 and 54,2010,743
Housing,Other household expenses,45 and 54,2011,781
Housing,Other household expenses,45 and 54,2012,874
Housing,Other household expenses,55 and 64,2003,533
Housing,Other household expenses,55 and 64,2004,602
Housing,Other household expenses,55 and 64,2005,618
Housing,Other household expenses,55 and 64,2006,714
Housing,Other household expenses,55 and 64,2007,701
Housing,Other household expenses,55 and 64,2008,809
Housing,Other household expenses,55 and 64,2009,767
Housing,Other household expenses,55 and 64,2010,810
Housing,Other household expenses,55 and 64,2011,889
Housing,Other household expenses,55 and 64,2012,941
Housing,Other household expenses,65 and 74,2003,467
Housing,Other household expenses,65 and 74,2004,495
Housing,Other household expenses,65 and 74,2005,582
Housing,Other household expenses,65 and 74,2006,663
Housing,Other household expenses,65 and 74,2007,632
Housing,Other household expenses,65 and 74,2008,664
Housing,Other household expenses,65 and 74,2009,690
Housing,Other household expenses,65 and 74,2010,798
Housing,Other household expenses,65 and 74,2011,841
Housing,Other household expenses,65 and 74,2012,921
Housing,Other household expenses,75 and over,2003,391
Housing,Other household expenses,75 and over,2004,491
Housing,Other household expenses,75 and over,2005,493
Housing,Other household expenses,75 and over,2006,565
Housing,Other household expenses,75 and over,2007,607
Housing,Other household expenses,75 and over,2008,670
Housing,Other household expenses,75 and over,2009,672
Housing,Other household expenses,75 and over,2010,667
Housing,Other household expenses,75 and over,2011,736
Housing,Other household expenses,75 and over,2012,825
